art_no,name,competitor,link
SPR 2942,471 FLINTAN Chair w arms,Amazon,https://www.amazon.com/Brenton-Studio-Radley-Mid-Back-Chair/dp/B01FT0XEWG/ref=sr_1_9?crid=QDJI1G5ABEB5&dib=eyJ2IjoiMSJ9.08RqDJ7nduwB5do3FT6xCKHwz9knMbvdMv47f8mnSCiKMSpC9-Vr3QKPx12t2Ft8V2ydGHRAetndkAl9OnPVuG-FunPqCm9QBVV6WhU9f1fnqRVwWsrLYl9A-Nvaa3aRlODTClt_JWobBg4Xb4WuOqWUx_Q99FKTiTJwHhmuW5jIysT_wcazA53juc7oAlKWLs5AUPkAcwTBn7JAMb39mE1wCX0oVt9856ER6R4f39o65CiZE5tfXzygNdl5rbjfu1uq5532PkgBeEJul2eS6ClE54I7ccr5Uxm97D0eQqU.__HlhKuqUlmqUeSZ7ugG1rd7CGUl0BWx5P1hOGXI6Ww&dib_tag=se&keywords=Office+chairs%2C+BIFMA+tested&qid=1734025511&sprefix=office+chairs%2C+bifma+tested%2Caps%2C87&sr=8-9
473546,ALEX Drawer Unit white,Amazon,https://www.amazon.com/DEVAISE-5-Drawer-Storage-Dresser-Cabinet/dp/B07SLJJH72/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.27b41115-b206-47c3-8621-713097e8442c%3Aamzn1.sym.27b41115-b206-47c3-8621-713097e8442c&crid=1CBHR3STDCLU7&cv_ct_cx=ALEX%2Bdrawer%2Bunit&keywords=ALEX%2Bdrawer%2Bunit&pd_rd_i=B07SLJJH72&pd_rd_r=df25edb1-6055-4d2c-bbcc-1305372797db&pd_rd_w=xQiNT&pd_rd_wg=d8MnA&pf_rd_p=27b41115-b206-47c3-8621-713097e8442c&pf_rd_r=B83VDZ3F7YQCSJMCE4RA&qid=1734277045&s=home-garden&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=alex%2Bdrawer%2Bunit%2Cgarden%2C90&sr=1-1-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
0,ÄNGSLILJA dc/pc FU/QN (DBL/QN) white,Amazon,https://www.amazon.com/Colourful-Snail-100-Percent-Closure-Resistant/dp/B01N8QS4PN/ref=sr_1_6?crid=39HAKTXFXFNPC&dib=eyJ2IjoiMSJ9.-I0b8mVAMfllBAwovKAbfrGtfORrvlkQckdm6Dou_EUDXDyaR1XX-JtVO00H4-6dEDmyM9n1VzY0PA6uKzzA479r0-juXRkbi6wwQHPi3xssBo6CWy-5lcpscYaA4fjq9ZKFIhj0EPwxMfmXxPZkrTkz9pxcL1vb1ZaRf-2Hfg1mKO8m-UzZuFn-BcKkG_JgI5F_BDfHOfOlSEU1r5SOb6GIqduJZ1bO3cNg4DAN_pzcN0IL3TyrZpK3zJEKsJmsUBZYXHdIqztM76Qef2ThH7fwnCs15u3J11SGse-uO3M.OEa2NrrxivnOWTwHZYx-vsskESUBTtAfGg6kqpserZo&dib_tag=se&keywords=colorful%2Bsnail%2B100%2Bpercent%2Bcotton%2Bduvet%2Bcover%2Bset&qid=1746631091&sprefix=colorful%2Bsnail%2B100%2Bpercent%2Bcotton%2Bduvet%2Bcover%2Bset%2Caps%2C99&sr=8-6&th=1
0,ÄNGSLILJA dc/pc FU/QN (DBL/QN) white,Target,https://www.target.com/p/easy-care-duvet-cover-and-sham-set-room-essentials/-/A-89524384?preselect=89195850#lnk=sametab
60591839,ÄNKEBLOMSTER wine glass 25 cl clear glass,Target,https://www.target.com/p/12-75oz-stemmed-hutton-wine-glass-threshold-8482/-/A-90010035#lnk=sametab
60591839,ÄNKEBLOMSTER wine glass 25 cl clear glass,Wal-mart,https://www.walmart.com/ip/Mainstays-Beautiful-Alto-12-75oz-Wine-Glass-3-25-x-3-25-x-7-50/5212641104?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D&classType=VARIANT&athbdg=L1102&from=%2Fsearch&sid=66846c45-7329-4ebe-8612-5408fbcb1838
577855,ANNONS pot w lid 2.8 l glass/stainless steel NA,Amazon,https://a.co/d/8vluOmy
577855,ANNONS pot w lid 2.8 l glass/stainless steel NA,Target,https://www.target.com/p/3qt-stainless-steel-sauce-pan-with-lid-silver-figmint-8482/-/A-87713752#lnk=sametab
577855,ANNONS pot w lid 2.8 l glass/stainless steel NA,Wal-mart,https://www.walmart.com/ip/Cook-N-Home-Stockpot-Sauce-Pot-Induction-Pot-With-Lid-Professional-Stainless-Steel-3-Quart/54301379?classType=VARIANT&from=/search
s89228434,Antilop,Amazon,https://www.amazon.com/Nunzybaby-Foldable-Toddlers-Collapsible-Highchairs/dp/B0CNS6SNRF/ref=sr_1_2_sspa?crid=87D3EK3G4PZC&dib=eyJ2IjoiMSJ9.H47RpLbc58utXogD9HdoN7tHVl-BZ0dpctsa54ICqx5TP-y75G3K88R98jnI_pnYuLu-8sUzgO_qWlwfCL1KDSJ-tIvVOJftHchtzelky69pnX4hWY9_gEONoYX6iQ9NmOPwBePdfpOqX0THXNWB88ypFR2s5VqqVQYmPqwL6LEwTxUWqnYfNR9uebt_4QzBm1IvczLJ5ql1VosCdND5umZm6pN8C_zDYeDcQ6YqfE43snINZQuYVf1A_OV6Z1dpqgWRYfHCepPL6KeyT8A5vdiq9LelQCIu14xzja0bqOQ.VZFApMwuxVV0rDeSXitMZi608L440CTgDDYUSLuvRqg&dib_tag=se&keywords=high+chair&qid=1746643822&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&s=home-garden&sprefix=high+chair%2Cgarden%2C142&sr=1-2-spons&xpid=rAXITpxMnqcjK&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
s89228434,Antilop,Target,https://www.target.com/p/chicco-zest-high-chair-seasalt/-/A-90708730?preselect=90708730
s89228434,Antilop,Wal-mart,https://www.walmart.com/ip/Regalo-Baby-Basics-High-Chair-Removable-Oversized-Tray-with-Cup-Holder-5-Point-Harness-White-Plastic-Chair-Steel-Legs-Ages-6-36-Months/5066049970?wmlspartner=wlpa&selectedSellerId=0&selectedOfferId=81DB934AC30A320280CD0CF959B7636C&conditionGroupCode=1&wmlspartner=wlpa&cn=FY25-ENTP-PMAX_cnv_dps_dsn_dis_ad_entp_e_n&gclsrc=aw.ds&adid=222222222975066049970_0000000000_21407473164&wl0=&wl1=x&wl2=c&wl3=&wl4=&wl5=9007378&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=online&wl12=5066049970&veh=sem&gad_source=4&gad_campaignid=21690411341&gbraid=0AAAAADmfBIqb3uM9NOOLZPnoubPYej5xU&gclid=CjwKCAjwiezABhBZEiwAEbTPGNAK2Ba0ZkJYibe1kviGy7VuQf2h9uhhogTXE4lJVVzVSq7HqD4zyhoCz18QAvD_BwE
80233430,APTITLIG chopping board 45x28 bamboo,Amazon,https://a.co/d/iLtYVyu
80233430,APTITLIG chopping board 45x28 bamboo,Target,https://www.target.com/p/10-34-x13-34-reversible-bamboo-cutting-board-natural-figmint-8482/-/A-87712381#lnk=sametab
80233430,APTITLIG chopping board 45x28 bamboo,Wal-mart,https://www.walmart.com/ip/Mainstays-Bamboo-Cutting-Board/121469680?classType=VARIANT&athbdg=L1103&from=%2Fsearch&sid=95f52777-5443-4546-98fc-6647c6db1b92
